Exercício (1): Mostre todas as comparações e movimentações do algoritmo anterior para
o array abaixo:


resposta: 

*****************************comparações******************************************

12 <--> 4

12 <--> 8

12 <--> 2
8 <--> 2
4 <--> 2

12 <--> 14

14 <--> 17

17 <--> 6
14 <--> 6
12 <--> 6
8 <--> 6

17 <--> 18

18 <--> 10
17 <--> 10
14 <--> 10
12 <--> 10

18 <--> 16
17 <--> 16

18 <--> 15
17 <--> 15
16 <--> 15

18 <--> 5
17 <--> 5
16 <--> 5
15 <--> 5
14 <--> 5
12 <--> 5
10 <--> 5
8 <--> 5
6 <--> 5

18 <--> 13
17 <--> 13
16 <--> 13
15 <--> 13
14 <--> 13

18 <--> 9
17 <--> 9
16 <--> 9
15 <--> 9
14 <--> 9
13 <--> 9
12 <--> 9
10 <--> 9

18 <--> 1
17 <--> 1
16 <--> 1
15 <--> 1
14 <--> 1
13 <--> 1
12 <--> 1
10 <--> 1
9 <--> 1
8 <--> 1
6 <--> 1
5 <--> 1
4 <--> 1
2 <--> 1

18 <--> 11
17 <--> 11
16 <--> 11
15 <--> 11
14 <--> 11
13 <--> 11
12 <--> 11

18 <--> 7
17 <--> 7
16 <--> 7
15 <--> 7
14 <--> 7
13 <--> 7
12 <--> 7
11 <--> 7
10 <--> 7
9 <--> 7
8 <--> 7


*******************movimentações******************************

tmp <--> 4
4 <--> 12
12 <--> 4

tmp <--> 8
8 <--> 12
12 <--> 8

tmp <--> 2
2 <--> 12
12 <--> 8
8 <--> 4
4 <--> 2

tmp <--> 14
14 <--> 14

tmp <--> 17
17 <--> 17

tmp <--> 6
6 <--> 17
17 <--> 14
14 <--> 12
12 <--> 8
8 <--> 6

tmp <--> 18
18 <--> 18

tmp <--> 10
10 <--> 18
18 <--> 17
17 <--> 14
14 <--> 12
12 <--> 10

tmp <--> 16
16 <--> 18
18 <--> 17
17 <--> 16

tmp <--> 15
15 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15

tmp <--> 5
5 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 12
12 <--> 10
10 <--> 8
8 <--> 6
6 <--> 5

tmp <--> 13
13 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 13

tmp <--> 9
9 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 13
13 <--> 12
12 <--> 10
10 <--> 9

tmp <--> 1
1 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 13
13 <--> 12
12 <--> 10
10 <--> 9
9 <--> 8
8 <--> 6
6 <--> 5
5 <--> 4
4 <--> 2
2 <--> 1

tmp <--> 11
11 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 13
13 <--> 12
12 <--> 11

tmp <--> 7
7 <--> 18
18 <--> 17
17 <--> 16
16 <--> 15
15 <--> 14
14 <--> 13
13 <--> 12
12 <--> 11
11 <--> 10
10 <--> 9
9 <--> 8
8 <--> 7


















